#
#
# US Geological Survey
# retrieved: 2015-04-14 22:27:39 EDT
# URL: http://nwis.waterdata.usgs.gov/ca/nwis/current
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in California.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  state_cd        -- State code
#  county_cd       -- County code
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  peak_begin_date -- Peak-streamflow data begin date
#  peak_end_date   -- Peak-streamflow data end date
#  peak_count_nu   -- Peak-streamflow data count
#  qw_begin_date   -- Water-quality data begin date
#  qw_end_date     -- Water-quality data end date
#  qw_count_nu     -- Water-quality data count
#  gw_begin_date   -- Field water-level measurements begin date
#  gw_end_date     -- Field water-level measurements end date
#  gw_count_nu     -- Field water-level measurements count
#
#
# query started 2015-04-14 22:27:39 EDT
#
# there are 783 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	state_cd	county_cd	alt_va	alt_acy_va	alt_datum_cd	peak_begin_date	peak_end_date	peak_count_nu	qw_begin_date	qw_end_date	qw_count_nu	gw_begin_date	gw_end_date	gw_count_nu
5s	15s	50s	7s	16n	16n	1s	10s	2s	3s	8s	3s	10s	10d	10d	8n	10d	10d	8n	10d	10d	8n
USGS	09423350	CARUTHERS C NR IVANPAH CA	ST	35.24498915	-115.29887590	F	NAD83	06	071	 5640			1963-10-18	2014-08-03	51	--	--	0	--	--	0
USGS	09427500	LAKE HAVASU NEAR PARKER DAM, AZ-CA	LK	34.31612564	-114.15717020	T	NAD83	06	071	 400.54			1943-04-18	1953-06-04	2	1978-01-09	1978-06-26	2	--	--	0
USGS	09427520	COLORADO RIVER BELOW PARKER DAM, AZ-CA	ST	34.29557035	-114.14022500	T	NAD83	06	071	 300.54			--	--	0	1968-10-01	2014-05-16	1092	--	--	0
USGS	09429000	PALO VERDE CANAL NEAR BLYTHE, CA	ST-CA	33.73196590	-114.51189990	T	NAD83	06	065	 274.13			--	--	0	1970-02-11	1985-09-05	764	--	--	0
USGS	09429100	COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA	ST	33.71946626	-114.49801050	T	NAD83	06	065	 281.			--	--	0	--	--	0	--	--	0
USGS	09429155	PVID F-CANAL SPILL NEAR BLYTHE, CA	ST-CA	33.57474765	-114.54634360	T	NAD83	06	065	 265.			--	--	0	1965-08-27	1969-07-18	13	--	--	0
USGS	09429180	PVID D23 SPILL NEAR BLYTHE, CA	ST	33.49169420	-114.60356660	T	NAD83	06	065	 230			--	--	0	1965-11-30	1969-07-18	9	--	--	0
USGS	09429200	PVID C CANAL SPILL NEAR BLYTHE, CA	ST-CA	33.42780713	-114.67329070	T	NAD83	06	025	 230			--	--	0	1965-10-25	1980-04-21	25	--	--	0
USGS	09429500	COLORADO RIVER BELOW IMPERIAL DAM, AZ-CA	ST	32.88309830	-114.46661470	T	NAD83	06	025	 162.			1960-12-07	2013-07-21	52	1969-08-25	1971-09-29	145	--	--	0
USGS	09429600	COLORADO RIVER BELOW LAGUNA DAM, AZ-CA	ST	32.81226660	-114.51494940	T	NAD83	06	025	 120.81			--	--	0	1972-07-17	1995-06-13	440	--	--	0
USGS	09521100	COLORADO R BLW YUMA MAIN CANAL WW AT YUMA, AZ	ST	32.73171354	-114.63273060	T	NAD83	06	025	 101.99			--	--	0	1972-03-01	2015-02-12	306	--	--	0
USGS	09523000	ALL-AMERICAN CANAL NR IMPERIAL DAM, CA-AZ	ST-CA	32.87143190	-114.48050400	T	NAD83	06	025	 150.			--	--	0	1965-08-11	1971-05-12	44	--	--	0
USGS	09523200	RESERVATION MAIN CANAL NEAR YUMA, AZ	ST-CA	32.81809980	-114.51467160	T	NAD83	06	025	 180.			--	--	0	1965-08-11	1969-05-19	13	--	--	0
USGS	09523400	TITSINK CANAL NEAR YUMA, AZ	ST-CA	32.82448865	-114.54189480	T	NAD83	06	025	 145.			--	--	0	--	--	0	--	--	0
USGS	09523600	YAQUI CANAL NEAR YUMA, AZ	ST-CA	32.80865585	-114.58828520	T	NAD83	06	025	 155.			--	--	0	--	--	0	--	--	0
USGS	09523800	PONTIAC CANAL NEAR YUMA, AZ	ST-CA	32.79365629	-114.61467480	T	NAD83	06	025	 155.			--	--	0	--	--	0	--	--	0
USGS	09524000	YUMA MAIN CANAL AT SIPHON DROP P.P. NR YUMA, AZ	ST-CA	32.77671230	-114.63550870	T	NAD83	06	025	 155.			--	--	0	1966-01-17	1967-01-13	5	--	--	0
USGS	09524700	YUMA MAIN CANAL ABOVE WASTEWAY NR WINTERHAVEN, CA	ST-CA	32.73408333	-114.62305560	5	NAD83	06	025	 127			--	--	0	--	--	0	--	--	0
USGS	09525000	YUMA MAIN CANAL WASTEWAY AT YUMA, AZ	ST-CA	32.73338010	-114.62300800	T	NAD83	06	025	 122.51			--	--	0	1964-02-20	1969-10-09	12	--	--	0
USGS	09526200	YPSILANTI CANAL NEAR WINTERHAVEN, CA	ST-CA	32.76837927	-114.65550930	S	NAD83	06	025	 133.			--	--	0	--	--	0	--	--	0
USGS	09527590	COACHELLA CANAL ABOVE ALL-AMERICAN CANAL DIVERSION	ST-CA	32.71416667	-114.94388890	S	NAD83	06	025	 161			--	--	0	--	--	0	--	--	0
USGS	09527594	COACHELLA CANAL NEAR NILAND, CA	ST	33.09059610	-115.45026270	S	NAD83	06	025	 70.			--	--	0	--	--	0	--	--	0
USGS	09527597	COACHELLA CANAL NEAR DESERT BEACH, CA	ST	33.53808109	-115.91860830	S	NAD83	06	065	 70			--	--	0	--	--	0	--	--	0
USGS	09527630	BROCK RESERVOIR INLET NEAR CALEXICO, CA	ST-CA	32.70949320	-115.02544250	5	NAD83	06	025	 160			--	--	0	--	--	0	--	--	0
USGS	09527660	BROCK RESERVOIR OUTLET NEAR CALEXICO, CA	ST-CA	32.70557669	-115.03444290	5	NAD83	06	025	 110			--	--	0	--	--	0	--	--	0
USGS	09527700	ALL-AMERICAN CANAL BELOW DROP 2 RESERVOIR OUTLET	ST-CA	32.70425000	-115.04811390	S	NAD83	06	025	 126.			--	--	0	--	--	0	--	--	0
USGS	09530000	RESERVATION MAIN DRAIN NO. 4 NEAR YUMA, AZ	ST	32.73726888	-114.62189700	T	NAD83	06	025	 127.			--	--	0	1961-10-13	1995-06-13	256	--	--	0
USGS	09530500	DRAIN 8-B NEAR WINTERHAVEN, CA	ST	32.74615776	-114.69439920	T	NAD83	06	025	 118.			--	--	0	1961-10-13	1988-09-22	178	--	--	0
USGS	10251290	BOREHOLE SPG CHANNEL NR TECOPA HOT SPGS, CA	ST	35.88569444	-116.23425000	1	NAD83	06	027	 1345			--	--	0	--	--	0	--	--	0
USGS	10251300	AMARGOSA RV AT TECOPA, CA	ST	35.84857700	-116.23002380	S	NAD83	06	027	 1310.			1962-09-26	2013-11-22	44	2004-03-17	2014-03-27	4	--	--	0
USGS	10251330	AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA	ST	35.79021765	-116.20618870	1	NAD83	06	071	 1050.			2007-09-22	2013-11-22	8	2014-02-27	2014-02-27	1	--	--	0
USGS	10254005	SALTON SEA NR WESTMORLAND CA	LK	33.19254216	-115.83388700	F	NAD83	06	025				--	--	0	1988-08-17	1996-05-31	92	--	--	0
USGS	10254050	SALT C NR MECCA	ST	33.44697395	-115.84332890	F	NAD83	06	065				1962-09-27	1990-06-09	29	1963-12-17	1992-04-03	5	--	--	0
USGS	10254730	ALAMO R NR NILAND CA	ST	33.19892768	-115.59693430	F	NAD83	06	025				1961-04-07	2014-09-27	54	1963-10-20	2007-04-17	201	--	--	0
USGS	10254970	NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA	ST	32.66589250	-115.50305010	F	NAD83	06	025	 -30			1982-03-13	2014-08-21	33	1961-11-28	2007-03-18	849	--	--	0
USGS	10255550	NEW R NR WESTMORLAND CA	ST	33.10476565	-115.66443820	F	NAD83	06	025				1962-01-25	2013-10-09	53	1963-10-20	2003-04-14	233	--	--	0
USGS	10255810	BORREGO PALM C NR BORREGO SPRINGS CA	ST	33.27916667	-116.43055560	S	NAD83	06	073	 1290			1951-07-28	2003-08-20	52	1980-11-05	1980-11-05	1	--	--	0
USGS	10256500	SNOW C NR WHITE WATER CA	ST	33.87057220	-116.68112700	F	NAD83	06	065	 2000			1922-12-14	2014-02-28	62	1972-02-29	2015-04-07	62	--	--	0
USGS	10257500	FALLS C NR WHITE WATER CA	ST	33.86946114	-116.67168240	S	NAD83	06	065	 1940			1995-01-10	2014-08-02	20	--	--	0	--	--	0
USGS	10257548	WHITEWATER R A WINDY POINT MAIN CHANNEL CA	ST	33.89890450	-116.62112560	S	NAD83	06	065	 1040			2010-01-21	2010-01-21	1	--	--	0	--	--	0
USGS	10257549	WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA	ST	33.89890450	-116.62112560	S	NAD83	06	065	 1040			--	--	0	--	--	0	--	--	0
USGS	10257600	MISSION C NR DESERT HOT SPRINGS CA	ST	34.01112284	-116.62806890	F	NAD83	06	065				1968-07-28	2014-08-18	46	--	--	0	--	--	0
USGS	10257720	CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA	ST	33.84418430	-116.60529290	F	NAD83	06	065	 2100			1986-11-18	2014-02-28	28	1986-10-29	2014-04-08	34	--	--	0
USGS	10258000	TAHQUITZ C NR PALM SPRINGS CA	ST	33.80501929	-116.55918160	F	NAD83	06	065	 762.50			1948-07-22	2014-08-02	65	--	--	0	--	--	0
USGS	10258500	PALM CYN C NR PALM SPRINGS CA	ST	33.74502178	-116.53557090	F	NAD83	06	065	 700.00			1930-08-01	2014-09-06	80	--	--	0	--	--	0
USGS	10259000	ANDREAS C NR PALM SPRINGS CA	ST	33.76002110	-116.55001550	F	NAD83	06	065	 800.00			1949-04-18	2013-09-03	65	--	--	0	--	--	0
USGS	10259050	PALM CYN WASH NR CATHEDRAL CITY CA	ST	33.79724196	-116.48195800	F	NAD83	06	065	 330			1989-08-10	2013-09-03	25	--	--	0	--	--	0
USGS	10259100	WHITEWATER R A RANCHO MIRAGE CA	ST	33.74946600	-116.42279030	F	NAD83	06	065				1989-08-10	2014-02-28	26	--	--	0	--	--	0
USGS	10259200	DEEP C NR PALM DESERT CA	ST	33.63113647	-116.39223420	F	NAD83	06	065	 1440			1962	2014-08-03	53	--	--	0	--	--	0
USGS	10259300	WHITEWATER R A INDIO CA	ST	33.73724340	-116.23611800	F	NAD83	06	065	 0			1965-11-22	2014-09-08	46	--	--	0	--	--	0
USGS	10259540	WHITEWATER R NR MECCA	ST	33.52474915	-116.07750230	F	NAD83	06	065				1961-08-15	2011-07-01	43	1963-10-23	2002-09-24	30	--	--	0
USGS	10260500	DEEP C NR HESPERIA CA	ST	34.34305858	-117.22643160	F	NAD83	06	071	 3030.00			1905-03-13	2014-02-28	102	1992-04-28	2015-04-08	53	--	--	0
USGS	10260855	GRASS VALLEY LK TUNNEL OUTLET A LAKE ARROWHEAD CA	FA-DV	34.26000000	-117.20444440	5	NAD83	06	071	 5150			2009-02-06	2012-12-13	5	--	--	0	--	--	0
USGS	10260950	WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA	ST	34.33889196	-117.25782130	S	NAD83	06	071	 3050			1975-03-08	2014-02-28	40	2007-04-21	2015-02-10	24	--	--	0
USGS	10261500	MOJAVE R A LO NARROWS NR VICTORVILLE CA	ST	34.57304916	-117.32060180	F	NAD83	06	071	 2643.01			1931-04-27	2014-03-01	84	1966-10-10	2015-04-07	306	--	--	0
USGS	10262500	MOJAVE R A BARSTOW CA	ST	34.90692668	-117.02281800	F	NAD83	06	071	 2090.00			1931	2014-08-03	84	1973-03-22	1973-03-22	1	--	--	0
USGS	10263000	MOJAVE R A AFTON CA	ST	35.03720565	-116.38418870	F	NAD83	06	071	 1398.15			1930-03-16	2014-08-03	64	1993-01-17	1994-02-24	3	--	--	0
USGS	10263500	BIG ROCK C NR VALYERMO CA	ST	34.42083115	-117.83950720	F	NAD83	06	037	 4050.00			1923-04-10	2014-02-28	91	--	--	0	--	--	0
USGS	10265150	HOT C A FLUME NR MAMMOTH LAKES CA	ST	37.66882166	-118.81763120	F	NAD83	06	051	 6950.00			1990-06-11	2013-10-17	25	1982-11-16	2012-07-26	376	--	--	0
USGS	10289500	GREEN CK NR BRIDGEPORT, CA	ST	38.17380969	-119.23376560	S	NAD83	06	051	 6880.			1954-05-20	2014-01-27	32	2000-06-06	2013-09-27	96	--	--	0
USGS	10290500	ROBINSON CK AT TWIN LKS OUTLET NR BRIDGEPORT, CA	ST	38.17214225	-119.32460320	U	NAD83	06	051	 7050.00			1911-06-21	2014-06-11	45	1994-05-06	2002-06-03	27	--	--	0
USGS	10291500	BUCKEYE CK NR BRIDGEPORT, CA	ST	38.23880787	-119.32599230	U	NAD83	06	051	 6900.00			1912-06-08	2014-05-26	45	1977-04-28	2013-09-27	141	--	--	0
USGS	10292500	BRIDGEPORT RE NR BRIDGEPORT, CA	LK	38.32491807	-119.21209800	U	NAD83	06	051	 6400.00			--	--	0	--	--	0	--	--	0
USGS	10293000	E WALKER RV NR BRIDGEPORT, CA	ST	38.32769580	-119.21487590	F	NAD83	06	051	 6400.00			1923-05-22	2014-07-08	92	1958-10-07	2002-06-03	215	--	--	0
USGS	10296000	W WALKER RV BLW L WALKER RV NR COLEVILLE, CA	ST	38.37963660	-119.45016490	S	NAD83	06	051	 6591.39			1937-12-11	2014-05-26	77	1960-10-06	1995-06-26	97	--	--	0
USGS	10296500	W WALKER RV NR COLEVILLE, CA	ST	38.51324495	-119.44988720	S	NAD83	06	051	 5520.00			1903-06-01	2014-05-26	89	1977-04-26	2005-08-24	97	--	--	0
USGS	10296700	W WALKER RV BLW TOPAZ CANAL DIV NR TOPAZ, CA	ST	38.63638889	-119.50638890	S	NAD83	06	051	 5018			2010-10-25	2014-06-19	4	--	--	0	--	--	0
USGS	10296750	TOPAZ CANAL BLW DIV W WALKER RVR NR TOPAZ, CA	ST-CA	38.63666667	-119.50750000	S	NAD83	06	051	 5020			2011-06-24	2014-05-26	3	--	--	0	--	--	0
USGS	10308200	E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE	ST	38.71462740	-119.76489850	S	NAD83	06	003	 5400.00			1961-05-26	2014-04-19	54	1965-11-16	2005-11-15	83	--	--	0
USGS	10308783	LEVIATHAN C AB MINE NR MARKLEEVILLE CA	ST	38.70129520	-119.65656140	S	NAD83	06	003	 7200			1999-05-07	2014-05-21	16	--	--	0	--	--	0
USGS	10308784	LEVIATHAN MINE ADIT DRAIN NR MARKLEEVILLE CA	ST-DCH	38.70407294	-119.65878370	S	NAD83	06	003	 7100			--	--	0	--	--	0	--	--	0
USGS	10308785	LEVIATHAN MINE PIT FLOW NR MARKLEEVILLE CA	LK	38.70407294	-119.65878370	S	NAD83	06	003	 7100			--	--	0	--	--	0	--	--	0
USGS	103087853	LEVIATHAN MINE POND 1 NR MARKLEEVILLE CA	LK	38.70407294	-119.65906150	S	NAD83	06	003	 7050			--	--	0	--	--	0	--	--	0
USGS	10308789	LEVIATHAN C AB ASPEN C NR MARKLEEVILLE CA	ST	38.71685050	-119.66017260	S	NAD83	06	003	 6700			1999-04-28	2014-01-30	16	--	--	0	--	--	0
